PN PC2 interpreted (Fig 2C),PN PC2 scores (Fig 1M),OCT-MCH behavior scores
-0.772067464,-0.49738675,1.198370156
-0.388854265,-0.00892619,-0.491791244
-0.263680188,-0.168326514,-1.084452752
0.318561874,0.902844953,-1.609332082
-0.984168237,-0.670808101,-0.945404946
0.611325586,1.47433995,0.942005829
-0.051739746,0.223292842,1.115661343
0.850555393,1.251156066,-0.063830382
1.375395784,1.845575978,-1.119190736
-0.331294094,0.600766428,1.011358963
-0.022076671,0.65717739,1.332320369
1.225573091,2.002476352,1.33379598
0.207653734,0.63351074,1.244234592
-0.18141944,1.015950937,1.016275126
0.79620129,1.38500256,0.280161288
-0.122614614,0.20115212,0.20974302
-0.319912723,0.681880976,-0.160689035
-0.852039193,0.300825569,-0.231450702
0.019434097,0.155278046,0.021032679
-0.555396443,-0.081278752,0.751189805
-0.645924431,0.312139248,0.159473708
-0.423670519,-0.241014038,0.47062028
-0.186420981,0.983668469,1.056134218
0.02365388,0.244912957,-0.274830008
-0.210309463,-0.073619025,0.11558138
-1.492657349,-1.269545382,-0.194146623
1.460345361,1.079534468,0.371483516
0.2579685,-0.207961242,-0.85142183
-0.03771509,-0.088535061,1.005741884
-0.363841912,-0.185088636,0.395476727
0.31228,0.052405697,-0.906033099
-0.624346823,-1.441246313,-1.914736504
-0.273990875,-1.642354058,-0.314314471
-1.326473812,-2.593719231,-1.118403381
1.960546994,0.948489312,1.120074076
1.48578692,0.1440731,0.818848671
-1.949093685,-1.13200359,-0.183323266
-1.184617228,-0.80314679,0.178977433
0.487615303,-0.007088054,1.227612172
-0.331248202,-0.446034936,1.166962305
-0.899213797,-1.629054346,-0.877077549
-1.787009689,-1.581711246,0.03429334
0.453292006,0.045717434,0.762180587
-0.406201843,-0.861896993,0.418273925
0.717551641,-0.032693791,0.030267871
1.451133228,1.773919575,0.108135702
2.068319735,1.127598871,1.115067494
-0.423852769,-0.324548809,-1.325978483
-0.514774035,0.286092103,0.551786855
1.167335386,1.14158296,0.075903747
-1.285324046,-0.839639556,0.345297222
0.458080456,0.539215017,0.853314086
-1.716515945,-2.504163569,-1.548745747
0.616619331,-0.083599443,0.117445599
-0.951214679,-1.146135446,-0.215983091
0.432590691,0.244304895,0.843489507
2.478048795,1.647532557,1.348369619
0.737980188,0.773088528,-1.014756955
2.357046487,1.159763985,1.953009975
-0.755992898,-1.422676374,-1.976422176
0.488558762,-0.161268741,-1.045226441
-1.651353772,-1.63662456,0.155173167
-0.267369472,-0.206334723,0.543563952
-1.069274294,-0.831118725,-0.730814141
1.28177176,0.492622568,-0.779274056
-0.569557195,-0.719925902,-2.54673979
0.492999521,-0.184237507,-1.844383066
-1.160751985,-0.706941694,-2.022032478
0.759754072,0.10276144,-0.407923138
